MAL_ID,Score,Score-1,Score-2,Score-3,Score-4,Score-5,Score-6,Score-7,Score-8,Score-9,Score-10,Ranked,Popularity
5772,6.43,265.0,403.0,604.0,1296.0,2804.0,4505.0,4902.0,2713.0,1384.0,1124.0,6263.0,2681
5773,4.89,57.0,26.0,31.0,42.0,51.0,31.0,12.0,12.0,3.0,22.0,Unknown,10420
5774,7.05,197.0,217.0,386.0,803.0,2127.0,3700.0,5837.0,4465.0,2572.0,2020.0,Unknown,2514
5781,7.84,249.0,222.0,466.0,1163.0,2651.0,6114.0,14603.0,20095.0,13751.0,8768.0,756.0,935
5783,6.07,9.0,8.0,3.0,14.0,31.0,45.0,36.0,16.0,5.0,11.0,7959.0,11172
5784,6.65,187.0,225.0,375.0,773.0,1564.0,2544.0,3100.0,2072.0,1262.0,981.0,Unknown,3079
5785,5.9,29.0,30.0,60.0,118.0,206.0,268.0,304.0,114.0,42.0,19.0,8530.0,8462
5799,5.29,13.0,16.0,34.0,36.0,71.0,49.0,45.0,13.0,1.0,12.0,10171.0,11695
5802,6.77,8.0,15.0,20.0,29.0,72.0,152.0,249.0,162.0,76.0,46.0,4571.0,8024
5809,Unknown,3.0,Unknown,3.0,1.0,12.0,13.0,16.0,4.0,6.0,11.0,15211.0,11535
5810,Unknown,6.0,2.0,5.0,4.0,15.0,3.0,15.0,2.0,2.0,6.0,11798.0,12405
5811,4.57,50.0,69.0,62.0,99.0,151.0,62.0,39.0,16.0,4.0,6.0,10907.0,10602
5812,4.73,43.0,65.0,65.0,72.0,159.0,79.0,53.0,10.0,7.0,6.0,10814.0,10499
5813,4.59,76.0,112.0,109.0,167.0,295.0,123.0,63.0,21.0,11.0,19.0,10891.0,9306
5814,4.38,63.0,85.0,94.0,126.0,148.0,67.0,39.0,6.0,6.0,9.0,10947.0,10275
5819,6.46,22.0,20.0,35.0,82.0,176.0,271.0,402.0,182.0,91.0,56.0,6090.0,7090
5821,Unknown,9.0,2.0,3.0,14.0,17.0,18.0,29.0,6.0,2.0,11.0,13076.0,12658
5826,5.42,37.0,36.0,59.0,86.0,266.0,201.0,140.0,36.0,18.0,19.0,9858.0,9491
5828,6.44,6.0,13.0,10.0,25.0,77.0,129.0,147.0,78.0,34.0,35.0,6250.0,9355
5829,6.01,5.0,12.0,8.0,12.0,33.0,40.0,35.0,19.0,4.0,10.0,8180.0,11204
5830,6.87,10.0,14.0,16.0,35.0,122.0,194.0,307.0,191.0,80.0,177.0,4161.0,9148
5832,7.31,7.0,15.0,23.0,65.0,131.0,347.0,626.0,554.0,265.0,245.0,2290.0,6581
5833,6.39,5.0,5.0,4.0,13.0,17.0,31.0,46.0,25.0,7.0,12.0,6444.0,11922
5834,6.79,5.0,4.0,9.0,8.0,32.0,49.0,70.0,53.0,22.0,28.0,4502.0,9039
5835,7.76,119.0,144.0,247.0,628.0,1526.0,2563.0,4942.0,5656.0,4166.0,3199.0,908.0,2056
5838,5.16,27.0,32.0,58.0,53.0,133.0,90.0,59.0,7.0,12.0,11.0,10393.0,10783
5841,Unknown,4.0,1.0,5.0,4.0,7.0,4.0,7.0,2.0,4.0,3.0,13052.0,13135
5842,5.85,21.0,21.0,31.0,46.0,108.0,127.0,147.0,50.0,12.0,22.0,8693.0,10455
5844,6.3,32.0,22.0,57.0,122.0,383.0,536.0,450.0,229.0,86.0,159.0,6908.0,6252
5845,6.29,24.0,34.0,58.0,148.0,443.0,634.0,469.0,246.0,98.0,180.0,6927.0,6049
5848,6.19,4.0,5.0,9.0,32.0,75.0,98.0,102.0,42.0,16.0,32.0,7408.0,9821
5849,6.38,8.0,11.0,12.0,22.0,132.0,179.0,178.0,76.0,35.0,45.0,6524.0,8286
5854,7.33,7.0,4.0,9.0,21.0,41.0,81.0,187.0,201.0,104.0,102.0,2190.0,8394
5859,6.73,10.0,20.0,22.0,48.0,201.0,311.0,422.0,217.0,116.0,114.0,4754.0,6816
